time,ax,ay,az,aT
0.0080,0.2497,0.0049,-0.0498,0.255
0.0080,0.2013,0.0227,0.0386,0.206
0.0230,0.1796,0.0108,0.0289,0.182
0.0260,0.1927,-0.0282,-0.0689,0.207
0.0830,0.1562,0.0100,-0.0983,0.185
0.0850,0.1175,0.0276,-0.1277,0.176
0.0850,0.0652,0.0464,-0.0396,0.089
0.0850,-0.0334,0.0731,0.0289,0.085
0.0850,-0.0625,-0.0030,-0.0204,0.066
0.0860,-0.1274,0.0357,-0.0501,0.141
0.0960,-0.1370,0.0766,-0.0601,0.168
0.1060,-0.1707,0.0659,-0.0407,0.187
0.1750,-0.1630,0.0070,-0.0016,0.163
0.1760,-0.1507,-0.0002,-0.0313,0.154
0.1760,-0.1475,-0.0591,0.0274,0.161
0.1770,-0.1404,-0.0070,0.0468,0.148
0.1770,-0.1316,-0.0443,0.0663,0.154
0.1770,-0.0922,-0.0401,0.0172,0.102
0.1770,-0.0592,-0.0206,-0.0121,0.064
0.1880,-0.0160,0.0196,-0.0414,0.049
0.2000,0.0452,-0.0283,-0.0217,0.058
0.2060,0.0940,-0.0354,-0.0118,0.101
0.2250,0.1276,-0.0720,-0.0511,0.155
0.2260,0.1092,-0.0959,-0.0315,0.149
0.2370,0.0659,-0.1329,-0.0216,0.150
0.2460,0.0225,-0.1261,0.0174,0.129
0.2830,-0.0006,-0.1624,-0.0022,0.162
0.2840,-0.0612,-0.1073,0.0662,0.140
0.2840,-0.0953,-0.1062,-0.0219,0.144
0.2900,-0.1256,-0.0257,0.0663,0.144
0.2960,-0.1116,0.0053,0.0369,0.118
0.3060,-0.1528,0.0148,-0.0022,0.154
0.3230,-0.1013,0.0451,0.0371,0.117
0.3260,-0.0777,0.0811,-0.0214,0.114
0.3860,-0.0464,0.1209,-0.0801,0.152
0.3860,0.0406,0.1350,-0.0797,0.162
0.3870,0.1399,0.1165,-0.0108,0.182
0.3870,0.1648,0.0934,-0.0692,0.202
0.3870,0.1971,0.0946,-0.0789,0.232
0.3880,0.2234,0.0922,0.0097,0.242
0.3960,0.2113,0.0369,-0.0490,0.220
0.4070,0.1943,-0.0379,-0.0980,0.221
0.4230,0.1089,-0.0341,0.0292,0.118
0.4260,0.0338,-0.0960,0.0093,0.102
0.4930,-0.0589,-0.1616,0.0287,0.174
0.4940,-0.0881,-0.1713,0.0282,0.195
0.4940,-0.1606,-0.0904,0.0377,0.188
0.4950,-0.1225,-0.0190,0.0276,0.127
0.4960,-0.0796,0.0023,0.0569,0.098
0.4960,-0.0562,0.0408,0.0274,0.075
0.4960,-0.0252,0.0419,-0.0216,0.053
0.5070,0.0519,0.0219,-0.0510,0.076
0.5250,0.0724,-0.0062,-0.0804,0.108
0.5260,0.0709,-0.0335,-0.0118,0.079
0.5370,0.0527,-0.0322,-0.0119,0.063
0.5460,0.0627,-0.0302,-0.0217,0.073
0.5850,0.0659,0.0291,0.0173,0.074
0.5860,0.0590,0.0386,0.0368,0.080
0.5860,-0.0146,-0.0218,-0.0416,0.049
0.5870,-0.0448,0.0085,-0.0222,0.051
0.5960,-0.1077,0.0157,0.0168,0.110
0.6060,-0.1447,-0.0020,0.0460,0.152
0.6650,-0.1607,-0.0339,0.0557,0.173
0.6660,-0.1038,-0.0792,0.0359,0.135
0.6670,-0.1112,-0.0303,-0.0327,0.120
0.6670,-0.0584,-0.0007,-0.0328,0.067
0.6670,-0.0075,-0.0105,0.0749,0.076
0.6670,-0.0243,-0.0766,-0.0035,0.080
0.6760,-0.0027,-0.0372,0.0061,0.038
0.6860,0.0467,-0.0176,-0.0330,0.060
0.6960,0.0792,0.0507,-0.0625,0.113
0.7060,0.0898,0.0286,-0.0624,0.113
0.7250,0.1043,-0.0121,-0.0331,0.110
0.7260,0.0599,-0.0220,0.0256,0.069
