time,ax,ay,az,aT,label
0.017,0.0714,-0.1392,-0.0472,0.163,0
0.018,0.162,-0.0413,-0.1025,0.196,0
0.019,0.1863,0.0355,-0.0319,0.192,0
0.02,0.4251,-0.0227,0.0598,0.43,0
0.02,0.364,-0.1097,-0.1035,0.39399999999999996,0
0.026,0.3336,-0.1253,-0.1694,0.395,0
0.039,0.2308,-0.0327,-0.1474,0.276,0
0.045,0.221,-0.0038,-0.048,0.226,0
0.055,0.1474,-0.0918,0.0215,0.175,0
0.073,-0.0226,-0.1164,0.0793,0.14300000000000002,0
0.074,-0.1903,-0.1837,0.0208,0.265,0
0.085,-0.2624,-0.1012,0.0086,0.281,0
0.095,-0.2651,-0.0912,0.0091,0.28,0
0.105,-0.2335,-0.0505,0.0957,0.257,0
0.116,-0.2386,-0.1371,0.126,0.303,0
0.124,-0.2011,-0.1607,0.1149,0.282,0
0.135,-0.1503,-0.1302,0.0574,0.207,0
0.144,-0.0724,-0.1176,-0.0406,0.14400000000000002,0
0.155,-0.0505,-0.1045,-0.2159,0.245,0
0.173,-0.0411,-0.0076,0.1371,0.14300000000000002,0
0.177,0.0054,-0.0718,-0.0094,0.073,0
0.185,-0.0333,-0.1074,-0.0292,0.11599999999999999,0
0.194,-0.0011,-0.1323,-0.0575,0.14400000000000002,0
0.205,0.0425,-0.0339,-0.0371,0.066,0
0.215,0.1621,-0.0685,-0.0457,0.182,0
0.225,0.0409,-0.1034,-0.0256,0.114,0
0.235,-0.0699,-0.1643,0.0434,0.184,0
0.244,-0.0943,-0.1285,0.0229,0.161,0
0.254,-0.1356,-0.121,0.0625,0.192,0
0.268,-0.1393,-0.1152,-0.0169,0.182,0
0.274,-0.1518,-0.1576,0.0325,0.221,0
0.285,-0.1544,-0.1412,0.051,0.215,0
0.295,-0.1286,-0.1259,0.0418,0.185,0
0.311,-0.0203,-0.1123,-0.0073,0.114,0
0.32,0.0046,-0.0976,-0.0458,0.10800000000000001,0
0.325,0.0707,-0.0855,-0.0062,0.111,0
0.335,0.127,-0.0799,-0.0548,0.16,0
0.345,0.1249,-0.0682,-0.0546,0.152,0
0.354,0.0387,-0.0708,-0.0352,0.08800000000000001,0
0.371,0.0436,-0.0962,-0.0164,0.107,0
0.374,-0.0394,-0.0695,0.0417,0.09,0
0.402,-0.0855,-0.0845,0.0005,0.12,0
0.403,-0.166,-0.0857,0.0093,0.187,0
0.405,-0.1882,-0.1279,0.0656,0.237,0
0.415,-0.1526,-0.1393,0.0451,0.21100000000000002,0
0.424,-0.1307,-0.1238,0.0532,0.188,0
0.435,-0.1262,-0.1272,0.033,0.182,0
0.445,-0.1341,-0.0938,0.0313,0.16699999999999998,0
0.455,-0.1122,-0.1082,0.0409,0.161,0
0.475,-0.1012,-0.113,0.0589,0.163,0
0.476,-0.1584,-0.1088,0.1078,0.22,0
0.485,-0.1846,-0.1039,0.0275,0.214,0
0.495,-0.1843,-0.1387,0.008,0.231,0
0.512,-0.2116,-0.1235,0.0063,0.245,0
0.515,-0.2223,-0.1373,0.1144,0.285,0
0.525,-0.2128,-0.1508,0.113,0.284,0
